,parcel_id,parcel_id_REMM,county_id,zone_id,parcel_acres,land_value,max_far,max_dua,has_buildings,was_developed,was_redeveloped,developable,residential_units,job_spaces,building_sqft,non_residential_sqft,residential_sqft,unit_price_non_residential,res_price_per_sqft,is_sf,is_mf,is_industrial,is_retail,is_office,is_govt,is_mixeduse,is_other,year_built,building_count,households_count,non_res_value,res_value,total_value,job_spaces_added,res_units_added,acreage_dev,acreage_redev,acreage_dev_res,acreage_redev_res,acreage_dev_nonres,acreage_redev_nonres,res_units_added_dev,res_units_added_redev,value_added_dev,value_added_redev,value_added_dev_res,value_added_dev_nonres
139483,559499,559499,57,203,0.528839536,53176.0,0.0,3.78186551,1,0,1,1.0,2.0,0.0,4607.250034000001,0.0,4607.250034000001,0.0,65.78101846558603,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,303069.59956212586,356245.59956212586,0.0,1.0,,0.528839536,,0.528839536,,,,1.0,,200348.34969220587,,
139541,555351,555351,57,197,1.988888301,51000.0,1.0,25.0,1,0,1,1.0,41.0,0.0,86635.97441,0.0,86635.97441,0.0,48.57242997128599,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,4208119.80002385,4259119.80002385,0.0,40.0,,1.988888301,,1.988888301,,,,40.0,,4122495.84533793,,
139564,513069,513069,57,238,1.933065956,81250.0,0.0,2.586564615,1,0,1,1.0,5.0,0.0,12630.652956,0.0,12630.652955999998,0.0,70.57182671838117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,891368.2517508408,972618.2517508408,0.0,4.0,,1.933065956,,1.933065956,,,,4.0,,822633.1799782008,,
139766,529252,529252,57,302,0.332039773,31611.0,0.0,18.07012439,1,0,1,1.0,6.0,0.0,10847.7393825,0.0,10847.7393825,0.0,58.72721563364362,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,637057.5298536456,668668.5298536456,0.0,5.0,,0.332039773,,0.332039773,,,,5.0,,548223.5086946854,,
139914,528651,528651,57,191,1.35575625,77950.0,0.0,7.375957143,1,0,1,1.0,9.0,0.0,17717.022681,0.0,17717.022681,0.0,72.02589588918825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,1276084.4310880927,1354034.4310880927,0.0,8.0,,1.35575625,,1.35575625,,,,8.0,,1078485.3221242628,,
139921,522293,522293,57,191,2.15758821,92650.0,0.0,7.879168007,1,0,1,1.0,17.0,0.0,37593.816976,0.0,37593.816976,0.0,68.77366615222303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,2585464.618095198,2678114.618095198,0.0,16.0,,2.15758821,,2.15758821,,,,16.0,,2436048.2468814384,,
140374,464055,464055,57,272,1.269634668,58100.0,0.0,2.362884438,1,0,1,1.0,3.0,0.0,8295.792922499999,0.0,8295.792922499999,0.0,63.0988750771902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,523455.201283066,581555.2012830661,0.0,1.0,,1.269634668,,1.269634668,,,,1.0,,355931.2724589461,,
141195,542572,542572,57,349,0.285687748,40480.0,0.0,7.000650234,1,0,1,1.0,2.0,0.0,3733.3674899999996,0.0,3733.3674899999996,0.0,65.44824478671315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,244342.34936427692,284822.3493642769,0.0,1.0,,0.285687748,,0.285687748,,,,1.0,,126593.63128494694,,
141200,529133,529133,57,347,0.346970482,32730.0,0.0,5.7641791,1,0,1,1.0,2.0,0.0,3022.8068380000004,0.0,3022.8068380000004,0.0,68.53793501403071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,207176.9386228117,239906.93862281172,0.0,1.0,,0.346970482,,0.346970482,,,,1.0,,140056.9532295817,,
141504,529432,529432,57,159,0.889740712,62500.0,0.0,4.495691776,1,0,1,1.0,4.0,0.0,9689.27635,0.0,9689.27635,0.0,62.63736955844461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,606910.7834888474,669410.7834888474,0.0,3.0,,0.889740712,,0.889740712,,,,3.0,,430229.17425950745,,
